Microarray_ID	Gene_name	Locus	5 min_b1t1	5 min_b1t2	5 min_b2t1	5 min_b2t2	15 min_b1t1	15 min_b1t2	15 min_b2t1	15 min_b2t2	30 min_b1t1	30 min_b2t1	60 min_b1t1	60 min_b1t2	60 min_b2t1	60 min_b2t2	Probe position	Description	Function	AUC
A_07_P006250	ygeI	b2853	0.52	0.43	1.00	0.63	0.31	0.43	0.53	0.34	0.28	0.29	1.22	0.74	2.68	1.04	chr:2991709-2991768	predicted protein	"orf, hypothetical protein [b2853]"	-56.014
A_07_P006253	pbl	b2854	2.21	1.74							1.76		1.65	2.01			chr:2992297-2992356	pseudo	"orf, hypothetical protein [b2854]"	NaN
A_07_P006257	ygeK	b2855	2.72	0.80	1.99	1.18	3.88	1.82	3.93	1.10	3.06	1.29	2.48	1.53	2.64	1.44	chr:2992804-2992745	pseudo	putative 2-component transcriptional regulator [b2855]	55.072
A_07_P006262	ygeK	b2856	1.59	0.64	2.27	0.89	5.94	1.53	4.98	0.71	2.02	0.89	1.66	0.73	1.77	0.48	chr:2993019-2992960	pseudo	"orf, hypothetical protein [b2856]"	26.453
A_07_P006266	ygeN	b2858	2.92	1.78			1.95				2.00		3.45	2.33		1.02	chr:2993461-2993402	pseudogene	pseudogene [b2858]	NaN
A_07_P006273	ygeN	b2858	1.84	1.31	2.28	1.81	2.15	1.62	3.32	1.79	2.25	2.29	2.57	2.44	3.25	2.11	chr:2993940-2993881	pseudo	"orf, hypothetical protein [b2858]"	64.741
A_07_P006278	ygeO	b2859	1.49	1.49	1.62		1.21	1.13			2.91		1.79	1.90		1.26	chr:2994184-2994125	pseudo	"orf, hypothetical protein [b2859]"	NaN
A_07_P006282	ygeQ	b2863	0.91	0.76	1.16	0.66	0.67	0.52	1.04		0.98		1.36	1.02	1.91	1.26	chr:2995831-2995772	pseudogene	pseudogene [b2863]	NaN
A_07_P006287	ygeQ	b2863	0.78	0.66	0.95	0.79	0.55	0.48	0.87	0.70	0.70	0.58	1.10	0.96	1.22	1.21	chr:2996130-2996071	pseudo	"orf, hypothetical protein [b2863]"	-22.111
A_07_P006295	ygeR	b2865	1.80	1.49	0.75	1.02	2.24	2.22	0.46	0.79	1.73	0.73	1.80	1.45	0.67	0.70	chr:2997360-2997301	tetratricopeptide repeat transcriptional regulator	putative lipoprotein [b2865]	8.951
A_07_P006300	xdhA	b2866	0.12	0.15	0.08	0.15	0.17	0.20	0.11	0.22	0.07		0.12	0.16	2.57	0.08	chr:2999963-3000022	"xanthine dehydrogenase, molybdenum binding subunit"	"orf, hypothetical protein [b2866]"	NaN
A_07_P006304	xdhB	b2867	0.78	0.52	0.23	0.44	0.17	0.22	0.32	0.39	0.29		0.52	0.65	0.29	0.39	chr:3000858-3000917	"xanthine dehydrogenase, FAD-binding subunit"	putative dehydrogenase [b2867]	NaN
A_07_P006310	xdhC	b2868	0.42	0.61	1.11	0.42	0.38	0.43	0.70	0.48	0.27	0.17	0.82	0.32	0.51	0.32	chr:3001931-3001990	"xanthine dehydrogenase, Fe-S binding subunit"	putative dehydrogenase [b2868]	-84.170
A_07_P006312	ygeV	b2869	0.44	0.49	0.35	0.31	0.18	0.21	0.22	0.23	0.25	0.20	0.35	0.31	0.42	0.50	chr:3002091-3002032	predicted DNA-binding transcriptional regulator	putative transcriptional regulator [b2869]	-104.286
A_07_P006316	ygeW	b2870															chr:3005326-3005385	conserved protein	putative carbamoyl transferase [b2870]	NaN
A_07_P006321	ygeX	b2871	0.76	1.45			0.74	1.04			0.64		0.44	0.95		1.06	chr:3006270-3006329	"2,3-diaminopropionate ammonia-lyase"	putative dehydratase [b2871]	NaN
A_07_P006326	ygeY	b2872	1.90	1.93			1.27	1.62			1.51		1.32	1.23	1.16	1.52	chr:3007163-3007222	predicted peptidase	putative deacetylase [b2872]	NaN
A_07_P006331	hyuA	b2873		1.45	1.14	1.14											chr:3008848-3008907	D-stereospecific phenylhydantoinase	"orf, hypothetical protein [b2873]"	NaN
A_07_P006336	yqeA	b2874	1.12	1.25	0.85	0.91	0.80	0.87	0.67	0.75	0.59	0.61	1.02	1.20	0.37	0.34	chr:3010246-3010305	predicted amino acid kinase	putative kinase [b2874]	-31.407
A_07_P006342	yqeB	b2875	0.48	0.65	0.18	0.56	0.44	0.78	0.41	0.77	0.62	0.75	0.39	0.57	0.63	0.89	chr:3010789-3010730	conserved protein with NAD(P)-binding Rossman fold	putative synthases [b2875]	-40.000
A_07_P006347	yqeC	b2876	0.17	0.15	0.12	0.19	0.22	0.13	0.18	0.13	0.12	0.13	0.10	0.11	0.06	0.07	chr:3012450-3012391	conserved protein	"orf, hypothetical protein [b2876]"	-167.439
A_07_P006352	ygfJ	b2877	0.26	0.18	0.38	0.21	0.30		0.14	0.11	0.01	0.15	0.09	0.24	0.01	0.08	chr:3013508-3013567	conserved protein	"orf, hypothetical protein [b2877]"	NaN
A_07_P006359	ygfK	b2878	0.75	1.34									0.51	1.10			chr:3016636-3016695	"predicted oxidoreductase, Fe-S subunit"	"putative oxidoreductase, Fe-S subunit [b2878]"	NaN
A_07_P006362	ssnA	b2879	0.57	1.51		0.02							0.21	1.03			chr:3018413-3018472	predicted chlorohydrolase/aminohydrolase	putative proteoglycan [b2879]	NaN
A_07_P006368	ygfM	b2880	1.39	1.07			1.09						0.44	1.07			chr:3018686-3018745	predicted oxidoreductase	"orf, hypothetical protein [b2880]"	NaN
A_07_P006371	xdhD	b2881	1.25	1.60	0.96	1.27	1.05	1.41	1.17	1.06	1.30	1.97	1.05	1.20	2.34	3.33	chr:3022149-3022208	fused predicted xanthine/hypoxanthine oxidase: molybdopterin-binding subunit/Fe-S binding subunit	putative dehydrogenase [b2881]	31.949
A_07_P006377	ygfO	b2882	2.00	1.16	2.61	1.27	1.64	1.39	2.66	1.76	2.27	1.91	2.48	1.42	6.25	3.62	chr:3023688-3023747	predicted transporter	putative transport protein [b2882]	61.800
A_07_P006382	guaD	b2883	0.58	0.24		0.13			0.01				0.57	0.45	0.01	0.01	chr:3024985-3025044	guanine deaminase	"orf, hypothetical protein [b2883]"	NaN
A_07_P006388	ygfQ	b2884	1.08	1.02	0.91	0.70	0.61	0.68	0.63	0.53	0.98	0.58	1.10	0.99	0.96	0.94	chr:3025196-3025255	predicted transporter	"orf, hypothetical protein [b2884]"	-18.769
A_07_P006392	ygfQ	b4464	0.77	0.93		0.62	0.53	0.40	0.30		0.57		0.53	0.60	0.90	0.76	chr:3026349-3026408	predicted purine permease	predicted purine permease [b4464]	NaN
A_07_P006399	ygfS	b2886	0.75	0.87		0.56	0.60	0.82	0.37	0.99	0.56	0.82	0.44	0.55	1.04	1.10	chr:3027030-3026971	"predicted oxidoreductase, 4Fe-4S ferredoxin-type subunit"	"putative oxidoreductase, Fe-S subunit [b2886]"	NaN
A_07_P006405	ygfT	b2887	0.63	0.95	0.22	0.74	0.68	0.73	0.49	0.87	0.75		0.49	0.63	0.32	0.86	chr:3027440-3027381	fused predicted oxidoreductase: Fe-S subunit/nucleotide-binding subunit	"putative oxidoreductase, Fe-S subunit [b2887]"	NaN
A_07_P006408	ygfU	b2888	0.59	0.50	0.79	0.17	0.29	0.31			0.39	2.24	0.32	0.27	0.26	0.37	chr:3030770-3030829	predicted transporter	putative permease [b2888]	NaN
A_07_P006415	idi	b2889	0.73	0.48	0.70	0.53	0.82	0.49	0.85	0.73	0.93	0.43	0.73	0.45	0.64	0.44	chr:3031494-3031553	isopentenyl diphosphate isomerase	putative enzyme [b2889]	-37.665
A_07_P006416	lysS	b2890	2.07	1.28	1.48	1.27	2.02	1.62	1.40	1.41	3.08	1.29	3.50	2.08	1.24	0.81	chr:3032369-3032310	"lysine tRNA synthetase, constitutive"	"lysine tRNA synthetase, constitutive; suppressor of ColE1 mutation in primer RNA [b2890]"	44.423
A_07_P006421	prfB	b2891	2.23	1.59	1.42	1.53	2.86	2.40	1.82	1.78	2.97	1.69	3.49	2.93	0.65	0.61	chr:3033422-3033363	peptide chain release factor RF-2	peptide chain release factor RF-2 [b2891]	51.327
A_07_P006426	recJ	b2892	1.78	2.61	1.18	2.14	1.76	2.01	1.36	2.54	1.71	2.86	0.83	1.26	1.92	3.17	chr:3034817-3034758	"ssDNA exonuclease, 5' --> 3'-specific"	"ssDNA exonuclease, 5 --> 3 specific [b2892]"	51.572
A_07_P006435	dsbC	b2893	1.13	1.10	1.28	1.30	1.52	1.26	1.64	1.40	1.20	1.70	1.11	1.03	1.70	1.69	chr:3036378-3036319	protein disulfide isomerase II	protein disulfide isomerase II [b2893]	25.933
A_07_P006436	xerD	b2894	0.80	0.96	1.28	1.24	1.29	1.47	1.36	1.50	0.67	1.25	1.48	1.59	0.34	0.34	chr:3037437-3037378	site-specific tyrosine recombinase	site-specific recombinase [b2894]	-3.404
A_07_P006442	fldB	b2895	1.19	0.98	1.86	1.37	1.53	1.20	1.90	1.74	1.02	1.23	1.57	1.36	1.24	0.87	chr:3037970-3038029	flavodoxin 2	flavodoxin 2 [b2895]	18.400
A_07_P006446	ygfX	b2896	1.06	1.31	1.01	1.37	1.94	2.12	1.46	1.72	1.63	1.48	1.10	1.46	0.92	1.21	chr:3038765-3038706	predicted protein	"orf, hypothetical protein [b2896]"	29.063
A_07_P006453	ygfY	b2897	1.30	0.99	1.39	0.94	2.01	1.81	1.56	1.14	1.29	1.02	1.83	1.39	1.05	0.77	chr:3039013-3038954	conserved protein	"orf, hypothetical protein [b2897]"	17.717
A_07_P006456	ygfZ	b2898	0.63	0.55	0.79	0.74	0.73	0.57	0.82	0.83	0.55	0.73	1.00	0.84	0.33	0.32	chr:3039807-3039866	predicted folate-dependent regulatory protein	"orf, hypothetical protein [b2898]"	-36.408
A_07_P006461	yqfA	b2899	0.31	0.37	0.28	0.33	0.29	0.28	0.35	0.47	0.47	0.56	0.38	0.46	0.48	0.56	chr:3040798-3040739	"predicted oxidoreductase, inner membrane subunit"	putative oxidoreductase [b2899]	-65.883
A_07_P006468	yqfB	b2900	0.94	0.87	1.90	1.60	1.22	1.25	1.99	1.69	1.26	1.92	1.61	1.98	2.37	2.09	chr:3041421-3041362	conserved protein	"orf, hypothetical protein [b2900]"	38.204
A_07_P006471	bglA	b2901	1.22	1.51	1.50	1.78	0.78	1.05	1.65	1.84	1.56	1.68	1.26	1.67	1.10	1.36	chr:3042995-3043054	6-phospho-beta-glucosidase A	6-phospho-beta-glucosidase A; cryptic [b2901]	28.812
A_07_P006477	ygfF	b2902	1.53	1.11	0.94	0.85	2.98	2.91	2.72	2.28	3.17	2.47	7.33	4.80	7.61	4.96	chr:3043251-3043192	predicted NAD(P)-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain	putative oxidoreductase [b2902]	90.806
A_07_P006481	gcvP	b2903	1.58	2.61	1.05	1.97	3.25	4.15	2.31	3.84	1.89	2.33	2.48	4.07	1.40	2.74	chr:3044979-3044920	"glycine decarboxylase, PLP-dependent, subunit (protein P) of glycine cleavage complex"	"glycine decarboxylase, P protein of glycine cleavage system [b2903]"	69.239
A_07_P006489	gcvH	b2904	0.97	1.05	1.24	1.34	3.01	3.13	2.00	2.50	1.11	1.93	2.55	3.06	3.88	4.32	chr:3047500-3047441	glycine cleavage complex lipoylprotein	"in glycine cleavage complex, carrier of aminomethyl moiety via covalently bound lipoyl cofactor [b2904]"	57.080
A_07_P006491	gcvT	b2905	1.76	1.72	2.35	2.58	4.80	4.19	2.12	2.61	1.57	1.82	4.90	4.80	2.34	2.43	chr:3048402-3048343	"aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex"	aminomethyltransferase [b2905]	69.986
A_07_P006496	visC	b2906	1.53	1.40	1.47	1.94	1.45	1.74	1.76	2.41	1.75	2.42	1.20	1.39	1.34	1.82	chr:3049609-3049550	predicted oxidoreductase with FAD/NAD(P)-binding domain	"orf, hypothetical protein [b2906]"	44.933
A_07_P006505	ubiH	b2907	1.14	1.86	1.02	1.67	1.64	2.41	1.47	2.41	2.09	2.36	0.71	1.08	0.97	1.70	chr:3050646-3050587	"2-octaprenyl-6-methoxyphenol hydroxylase, FAD/NAD(P)-binding"	"2-octaprenyl-6-methoxyphenol--> 2-octaprenyl-6-methoxy-1, 4-benzoquinone [b2907]"	41.469
A_07_P006506	pepP	b2908	1.61	1.86	1.17	1.40	2.12	2.34	1.32	1.57	1.43	1.32	1.14	1.39	0.57	0.68	chr:3051660-3051601	proline aminopeptidase P II	proline aminopeptidase P II [b2908]	21.012
A_07_P006514	ygfB	b2909	1.88	1.80	1.67	1.40	2.87	2.72	2.02	1.98	1.86	1.40	2.20	1.89	0.68	0.53	chr:3053024-3052965	predicted protein	"orf, hypothetical protein [b2909]"	36.945
A_07_P006520	zapA	b2910	1.05	0.67	0.79	0.54	0.55	0.27	0.67	0.42	0.70	0.51	0.71	0.51	1.27	0.88	chr:3053760-3053819	protein that localizes to the cytokinetic ring	"orf, hypothetical protein [b2910]"	-38.094
A_07_P006525	ygfA	b2912	0.74	1.22	1.12	1.83	0.99	1.71	1.64	1.82	1.37	1.87	1.23	2.04	1.02	1.70	chr:3054657-3054716	predicted ligase	putative ligase [b2912]	31.600
A_07_P006526	serA	b2913	0.88	1.55	1.61	3.38	1.29	1.55	1.76	2.60	0.88	3.01	2.10	4.02	1.06	2.07	chr:3055801-3055742	D-3-phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase [b2913]	45.172
A_07_P006532	rpiA	b2914	0.89	0.78	1.15	1.35	1.36	1.17	1.31	1.50	0.94	1.08	1.55	1.30	0.43	0.48	chr:3057014-3056955	"ribose 5-phosphate isomerase, constitutive"	"ribosephosphate isomerase, constitutive [b2914]"	0.807
A_07_P006538	yqfE	b2915	1.06	0.68	1.49	0.68	1.87	1.15	2.14	0.60	1.08	0.74	1.08	0.73	1.39	0.52	chr:3057486-3057427	pseudo	"orf, hypothetical protein [b2915]"	-2.531
A_07_P006542	argP	b2916	1.76	1.52	1.57	1.59	1.40	0.86	1.10	0.93	1.24	0.86	1.94	1.72	1.38	1.26	chr:3058609-3058668	"DNA-binding transcriptional activator, replication initiation inhibitor"	"replication initiation inhibitor, binds to 13-mers at oriC [b2916]"	14.912
A_07_P006550	scpA	b2917	0.68	0.60	0.72	0.81	0.49	0.54	0.85	0.82	0.62	0.01	0.48	0.46	0.52	0.57	chr:3060693-3060752	methylmalonyl-CoA mutase	methylmalonyl-CoA mutase [b2917]	-107.388
A_07_P006554	argK	b2918					0.01						2.01				chr:3061855-3061914	membrane ATPase/protein kinase	putative nucleotide-binding protein [b2918]	NaN
A_07_P006556	scpB	b2919		0.79	1.22	0.77				0.52	0.56		1.62			0.87	chr:3062733-3062792	"methylmalonyl-CoA decarboxylase, biotin-independent"	putative enzyme [b2919]	NaN
A_07_P006564	scpC	b2920	0.82	0.52	1.06	0.55	0.56	0.41	1.12	0.54	0.77	0.61	0.82	0.47	1.81	1.02	chr:3064220-3064279	propionyl-CoA:succinate-CoA transferase	putative coenzyme A transferase [b2920]	-25.538
A_07_P006568	ygfI	b2921	1.22	0.89	1.15	0.95	1.28	1.00	1.17	1.08	1.13	1.61	1.00	0.82	1.56	0.99	chr:3064372-3064313	predicted DNA-binding transcriptional regulator	putative transcriptional regulator LYSR-type [b2921]	13.524
A_07_P006571	potC	b1124	1.61	1.48	1.47	1.38	1.71	1.43	1.57	1.72	1.92	1.67	1.71	1.48	1.56	1.53	chr:1182211-1182152	polyamine transporter subunit	spermidine/putrescine transport system permease [b1124]	39.954
A_07_P006577	potB	b1125	2.16	2.48	1.27	1.77	2.08	1.64	1.39	1.56	2.14	1.61	2.14	2.40	2.00	2.35	chr:1183123-1183064	polyamine transporter subunit	spermidine/putrescine transport system permease [b1125]	50.854
A_07_P006583	potA	b1126	1.98	2.02	1.44	1.59	2.06	2.51	1.61	1.64	2.76	1.65	3.11	3.19	1.82	2.19	chr:1183778-1183719	polyamine transporter subunit	ATP-binding component of spermidine/putrescine transport [b1126]	60.283
A_07_P006587	pepT	b1127	0.63	0.63	0.69	0.55	0.45	0.47	0.46	0.44	0.67	0.64	0.69	0.58	1.18	1.06	chr:1186183-1186242	peptidase T	putative peptidase T [b1127]	-35.305
A_07_P006595	ycfD	b1128	1.21	1.40	0.88	1.07	1.06	1.15	0.83	0.95	1.22	0.81	0.70	0.80	0.71	0.85	chr:1186678-1186619	conserved protein	"orf, hypothetical protein [b1128]"	-5.289
A_07_P006600	phoQ	b1129	1.04	1.27	0.96	1.32	1.29	1.30	1.16	1.39	1.24	1.39	0.89	1.13	1.05	1.38	chr:1187744-1187685	sensory histidine kinase in two-compoent regulatory system with PhoP	sensor protein PhoQ [b1129]	16.368
A_07_P006601	phoP	b1130	1.27	0.86	1.00	0.77	1.27	0.81	0.97	0.85	1.30	0.76	1.33	0.89	0.61	0.43	chr:1189200-1189141	DNA-binding response regulator in two-component regulatory system with PhoQ	transcriptional regulatory protein [b1130]	-7.592
A_07_P006606	purB	b1131	1.73	1.53	2.03	2.40	2.66	2.52	2.32	2.64	3.57	1.87	2.65	2.65	0.66	0.64	chr:1190381-1190322	adenylosuccinate lyase	adenylosuccinate lyase [b1131]	58.012
A_07_P006612	hflD	b1132	2.36	1.99	2.12	1.90	4.19	3.35	3.07	2.82	2.73	1.73	2.68	2.17	0.39	0.35	chr:1191282-1191223	predicted lysogenization regulator	"orf, hypothetical protein [b1132]"	50.981
A_07_P006616	mnmA	b1133	1.62	1.51	1.84	1.64	3.20	2.84	2.26	2.14	1.65	1.51	1.92	1.86	0.50	0.46	chr:1192679-1192620	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	"orf, hypothetical protein [b1133]"	34.442
A_07_P006621	nudJ	b1134	2.33	1.49	2.34	1.67	4.05	3.12	2.77	2.20	2.49	1.46	2.20	1.39	0.87	0.63	chr:1193463-1193404	bifunctional thiamin pyrimidine pyrophosphate hydrolase/ thiamin pyrophosphate hydrolase	putative phosphohydrolase [b1134]	47.999
A_07_P006629	rluE	b1135	3.04	1.73	2.20	1.65	7.14	4.53	2.75	2.71	4.01	1.54	2.23	1.33	0.65	0.39	chr:1193582-1193523	23S rRNA pseudouridine synthase	"orf, hypothetical protein [b1135]"	58.132
A_07_P006631	icd	b1136	0.60	0.68	0.62	0.75	0.36	0.45	0.64	0.85	1.06	0.98	0.97	1.05	0.52	0.60	chr:1195466-1195525	"e14 prophage; isocitrate dehydrogenase, specific for NADP+"	"isocitrate dehydrogenase, specific for NADP+ [b1136]"	-19.672
A_07_P006636	ymfD	b1137	0.91	0.78	0.91	0.70	0.84	0.59	1.32	0.92	1.05	1.22	1.84	1.46	2.78	1.96	chr:1196411-1196352	e14 prophage; predicted SAM-dependent methyltransferase	"orf, hypothetical protein [b1137]"	14.892
A_07_P006641	ymfE	b1138	0.63	0.48	0.49	0.30	0.79	0.62	0.72	0.55	0.71	0.57	0.58	0.45	0.71	0.45	chr:1197210-1197151	e14 prophage; predicted inner membrane protein	"orf, hypothetical protein [b1138]"	-41.234
A_07_P006648	lit	b1139	0.89	0.37	1.39	0.78	1.29	0.98	1.01	0.87	0.97	1.53	2.37	1.18	1.39	0.61	chr:1198520-1198579	"e14 prophage; cell death peptidase, inhibitor of T4 late gene expression"	phage T4 late gene expression; at locus of e14 element [b1139]	9.674
A_07_P006651	intE	b1140	1.57	1.10	2.03	1.69	1.19	1.74	1.40	1.89	1.87	2.15	2.24	1.85	3.21	3.65	chr:1198961-1198902	e14 prophage; predicted integrase	prophage e14 integrase [b1140]	54.503
A_07_P006656	xisE	b1141	1.03	1.00	1.28	1.07	1.26	1.18	2.00	0.89	1.24	1.01	1.26	1.03	2.42	1.90	chr:1200109-1200050	e14 prophage; predicted excisionase	"orf, hypothetical protein [b1141]"	18.293
A_07_P006662	ymfH	b1142	2.42	1.76	3.76	1.60	1.95	1.54	2.01	0.68	1.32	0.70	1.65	1.33	3.16	1.81	chr:1200452-1200393	ANNOTATION DISCONTINUED	"orf, hypothetical protein [b1142]"	24.564
A_07_P006670	ymfI	b1143	1.48	0.75	1.64	0.68	0.68	0.38	0.81	0.44	1.15	0.60	1.44	0.83	2.46	0.99	chr:1200990-1201049	e14 prophage; predicted protein	"orf, hypothetical protein [b1143]"	-10.612
A_07_P006675	ymfJ	b1144	1.90	1.33	1.87	1.55	1.79	2.16	2.26	2.69	2.79	1.47	1.12	0.91	1.35	1.25	chr:1201072-1201013	e14 prophage; predicted protein	"orf, hypothetical protein [b1144]"	43.688
A_07_P006676	ymfK	b1145	1.40	1.04	1.71	1.00	1.20	1.15	1.60	1.11	1.98	1.22	1.49	1.12	2.36	1.39	chr:1201653-1201594	e14 prophage; repressor protein phage e14	putative phage repressor [b1145]	29.175
A_07_P006683	ymfT	b1146	1.99	2.25	2.16	1.28	2.42	3.14	2.75	1.68	3.97	3.13	1.08	1.41	2.78	2.72	chr:1202326-1202385	e14 prophage; predicted DNA-binding transcriptional regulator	"orf, hypothetical protein [b1146]"	74.686
A_07_P006687	ymfL	b1147	1.27	1.53			0.59	1.09			1.12		0.74	1.20		1.76	chr:1202914-1202973	e14 prophage; predicted DNA-binding transcriptional regulator	"orf, hypothetical protein [b1147]"	NaN
A_07_P006694	ymfM	b1148	2.03	0.96	1.46	1.14	5.09	3.16	4.10	1.17	3.07	1.24	1.60	0.78	2.05	0.95	chr:1203113-1203172	e14 prophage; predicted protein	"orf, hypothetical protein [b1148]"	48.175
A_07_P006696	ymfN	b1149	0.96	1.40	0.72	1.75	1.36	1.94	1.25	1.22	0.74	1.74	0.73	1.24	0.62	1.40	chr:1203965-1204024	e14 prophage; predicted DNA-binding transcriptional regulator	"orf, hypothetical protein [b1149]"	10.107
A_07_P006701	ymfR	b1150	0.64	0.55	0.78	0.53	0.49	0.59	1.35	0.52	0.50	0.61	0.38	0.34	1.00	0.84	chr:1204895-1204954	e14 prophage; predicted protein	"orf, hypothetical protein [b1150]"	-42.070
A_07_P006706	ymfO	b1151	1.39	1.10	1.79	0.81	1.34	0.96	1.90	0.68	1.21	0.80	0.96	0.73	1.76	0.95	chr:1205278-1205337	pseudo	"orf, hypothetical protein [b1151]"	3.980
A_07_P006711	ymfP	b1152	0.78	1.92	0.80	2.19	0.59	1.49	0.83		0.89		0.64	1.81	0.52	2.08	chr:1206056-1206115	pseudo	"orf, hypothetical protein [b1152]"	NaN
A_07_P006716	ymfQ	b1153	0.78	1.22		1.59	0.86	1.26	1.04		1.20		0.80	1.42	1.07	2.00	chr:1206659-1206718	e14 prophage; conserved protein	"orf, hypothetical protein [b1153]"	NaN
A_07_P006725	ycfK	b1154	1.40	1.87	0.99	1.51	1.54	1.75	1.26	1.59	1.50	1.43	1.09	1.29	1.35	1.95	chr:1207194-1207253	e14 prophage; predicted protein	"orf, hypothetical protein [b1154]"	29.498
A_07_P006729	ymfS	b1155	1.26	1.28	1.22	1.18	1.39	1.21	1.28	1.26	1.23	1.33	0.97	0.92	1.22	1.15	chr:1207597-1207656	e14 prophage; predicted protein	"orf, hypothetical protein [b1155]"	15.196
A_07_P006735	tfaE	b1156	0.92	0.90	1.16	1.47	0.99	0.78	1.10	0.83	0.74	0.71	0.96	0.88	1.34	1.43	chr:1208080-1208021	e14 prophage; predicted tail fiber assembly protein	"orf, hypothetical protein [b1156]"	-8.941
A_07_P006740	stfE	b1157	1.07		1.34								1.30	1.29			chr:1208460-1208401	pseudo	putative tail fiber protein [b1157]	NaN
A_07_P006744	pinE	b1158	1.50	1.16	1.83		1.88				2.23		1.49	1.56			chr:1209388-1209447	e14 prophage; site-specific DNA recombinase	inversion of adjacent DNA; at locus of e14 element [b1158]	NaN
A_07_P006746	mcrA	b1159	1.90	1.23			0.91				0.11		1.94	1.09			chr:1210233-1210292	e14 prophage; 5-methylcytosine-specific restriction endonuclease B	restriction of DNA at 5-methylcytosine residues; at locus of e14 element [b1159]	NaN
A_07_P006752	elbA	b1160	2.77	1.88	3.19	2.37	1.80	1.19	2.53	1.52	3.25	1.69	3.57	2.15	7.62	5.04	chr:1211027-1210968	predicted protein	"orf, hypothetical protein [b1160]"	74.474
A_07_P006759	ycgX	b1161	1.70	1.76	1.47	1.66	2.37	2.19	4.14	4.20	2.64	6.70	2.53	3.01	10.70	6.58	chr:1212108-1212049	predicted protein	"orf, hypothetical protein [b1161]"	104.503
A_07_P006764	ycgE	b1162	1.42	0.90	1.60	1.13	2.69	2.31	1.07	0.90	1.25	0.73	1.93	1.20	0.48	0.34	chr:1212947-1212888	predicted DNA-binding transcriptional regulator	putative transcriptional regulator [b1162]	2.851
A_07_P006770	ycgF	b1163	0.91	0.84	1.26	0.98	0.69	0.77	1.06	0.95	0.98	1.16	1.74	1.60	1.12	1.01	chr:1213653-1213594	predicted FAD-binding phosphodiesterase	"orf, hypothetical protein [b1163]"	5.340
A_07_P006771	ycgZ	b1164	0.77	0.44	1.09	0.58	1.03	0.67	1.44	0.55	0.88	0.71	1.22	0.65	1.89	0.87	chr:1215187-1215246	predicted protein	"orf, hypothetical protein [b1164]"	-11.680
A_07_P006777	ymgA	b1165	0.65	0.27	0.87	0.47	0.44	0.32	0.73	0.46	0.61	0.84	1.06	0.53	1.58	0.67	chr:1215406-1215465	predicted protein	"orf, hypothetical protein [b1165]"	-32.307
A_07_P006784	ariR	b1166	0.77	0.44	1.04	0.64	0.96	0.63	0.87	0.67	0.50	0.71	1.18	0.56	0.57	0.43	chr:1215679-1215738	predicted protein	"orf, hypothetical protein [b1166]"	-33.946
A_07_P006789	ymgC	b1167	1.03	0.43	1.70	0.60	1.42	0.55	2.72	0.43	0.79	0.53	1.37	0.51	2.12	0.54	chr:1216032-1216091	predicted protein	"orf, hypothetical protein [b1167]"	-17.198
A_07_P006792	ycgG	b1168	1.31	1.27		1.09	1.34	1.21	1.39		2.39		1.36	1.10	3.49	2.29	chr:1218015-1218074	conserved inner membrane protein	putative proteases [b1168]	NaN
A_07_P006798	ycgH	b4491	1.84	1.36	3.03	1.74	1.81	1.52	2.98	1.88	2.88	1.02	1.95	1.65	7.80	4.11	chr:1220163-1220222	pseudogene	Probable pseudogene~putative ATP-binding component of a transport system  [b4491]	59.660
A_07_P006805	ycgH	b4491	0.82	0.77	1.58	1.55	1.20	1.14	2.43	2.08	0.99	1.80	1.21	1.20	0.85	0.97	chr:1221225-1221284	Pseudogene	Probable pseudogene~putative ATP-binding component of a transport system [b4491]	19.918
A_07_P006807	ymgD	b1171	1.16	1.05	1.95	1.82	3.45	3.43	3.24	3.61	1.37	2.53	1.81	1.59	2.69	2.51	chr:1221658-1221599	predicted protein	"orf, hypothetical protein [b1171]"	61.075
A_07_P006812	ymgG	b1172	1.76	1.57	1.73	2.26	4.93	6.43	3.91	3.99	1.67	3.20	2.00	2.36	2.63	3.11	chr:1221926-1221867	predicted protein	"orf, hypothetical protein [b1172]"	79.202
A_07_P006820	ycgI	b1173	0.85	0.91	0.88	0.94	0.80	0.93	0.99	1.05	0.94	0.95	0.88	0.97	0.79	0.82	chr:1222968-1223027	DISCONTINUED IN ANNOTATION REANNOTATED TO B4521	"pseudogene, orf, hypothetical protein [b1173]"	-6.994
A_07_P006821	minE	b1174	0.91	0.86	0.91	0.67	0.51	0.53	0.60	0.47	0.91	0.67	0.87	0.91	1.74	1.16	chr:1223561-1223502	cell division topological specificity factor	"cell division topological specificity factor, reverses MinC inhibition of ftsZ ring formation [b1174]"	-18.318
A_07_P006827	minD	b1175	0.51	0.75	0.60	0.62	0.58	0.81	0.51	0.52	0.67	0.53	1.20	1.30	0.56	0.63	chr:1224274-1224215	membrane ATPase of the MinC-MinD-MinE system	"cell division inhibitor, a membrane ATPase, activates minC [b1175]"	-32.684
